Unnamed: 0,age,gender,height,weight,Fitbit.Steps_LE,Fitbit.Heart_LE,Fitbit.Calories_LE,Fitbit.Distance_LE,EntropyFitbitHeartPerDay_LE,EntropyFitbitStepsPerDay_LE,RestingFitbitHeartrate_LE,CorrelationFitbitHeartrateSteps_LE,NormalizedFitbitHeartrate_LE,FitbitIntensity_LE,SDNormalizedFitbitHR_LE,FitbitStepsXDistance_LE,activity_trimmed
2699,22,0,168,62,7,18,1,285,4.43715733473776,3.39010261822172,10.1111111111111,0.300975300722175,7.8888888888889,0.0419869899467771,44.1204168766504,1995,Lying
2700,22,0,168,62,4,20.0909090909091,1,282,4.43715733473776,3.39010261822172,10.1111111111111,0.351479431075511,9.979797979798,0.0531154239019409,43.968237018607,1128,Lying
2701,22,0,168,62,6,6.77777777777778,35,284,4.43715733473776,3.39010261822172,10.1111111111111,-0.0424583359425642,-3.33333333333332,-0.0177409816676522,50.3649810986746,1704,Sitting
2702,22,0,168,62,4,23.25,1,282,4.43715733473776,3.39010261822172,10.1111111111111,-0.28510412849494,13.1388888888889,0.0699290360733294,57.481378403422,1128,Sitting
2703,22,0,168,62,5,26.2222222222222,1,283,4.43715733473776,3.39010261822172,10.1111111111111,0.0563134812588951,16.1111111111111,0.0857480780603193,60.4003945662275,1415,Sitting
2704,22,0,168,62,10,121.545454545455,1,288,4.43715733473776,3.39010261822172,10.1111111111111,-0.0435509568303984,111.434343434344,0.593086393204669,61.4776865148561,2880,Sitting
2705,22,0,168,62,132,59.0909090909091,1,213,4.43715733473776,3.39010261822172,10.1111111111111,0.0678635058457169,48.979797979798,0.260684909413472,59.91481731741,28116,Sitting
2706,22,0,168,62,1,145.7,1,1,4.43715733473776,3.39010261822172,10.1111111111111,0.0586938023658245,135.588888888889,0.721643997634536,51.4690601549452,1,Sitting
2707,22,0,168,62,1,142.333333333333,1,1,4.43715733473776,3.39010261822172,10.1111111111111,0.0450971456271536,132.222222222222,0.703725606150205,53.993720869081,1,Sitting
2708,22,0,168,62,47,146.222222222222,2,335,4.43715733473776,3.39010261822172,10.1111111111111,-0.0157735357480869,136.111111111111,0.7244234180958,55.6218086992658,15745,Self Pace walk
2709,22,0,168,62,1,145.875,47,1,4.43715733473776,3.39010261822172,10.1111111111111,0.0679548266473262,135.763888888889,0.722575399172088,62.4370763226869,1,Self Pace walk
2710,22,0,168,62,102,146.454545454545,66.5,151,4.43715733473776,3.39010261822172,10.1111111111111,0.240208397152561,136.343434343434,0.725659910757484,66.4252822435398,15402,Self Pace walk
2711,22,0,168,62,151,128.6,66.5,235,4.43715733473776,3.39010261822172,10.1111111111111,0.358310568635715,118.488888888889,0.63063276167948,66.8216286736851,35485,Self Pace walk
2712,22,0,168,62,13,10.1111111111111,68,291,4.43715733473776,3.39010261822172,10.1111111111111,0.518783336487437,0,0,65.2715428093088,3783,Self Pace walk
